frame,time_sec,track_id,class_id,class_name,center_x,center_y,conf,speed_kmh,exceeded
36,1.2012012012012012,2,2,car,1599,43,0.4417501389980316,19.12243620462623,0
36,1.2012012012012012,3,2,car,1044,121,0.7636896371841431,6.874978353420468,0
36,1.2012012012012012,4,2,car,1082,260,0.8077861070632935,18.009728620942624,0
36,1.2012012012012012,5,2,car,1004,69,0.7727469801902771,3.6732783069078763,0
36,1.2012012012012012,6,2,car,1070,65,0.5951656699180603,5.278653987523714,0
36,1.2012012012012012,7,2,car,1527,41,0.35243067145347595,18.421934453864857,0
36,1.2012012012012012,19,2,car,982,10,0.3670653998851776,,0
36,1.2012012012012012,14,2,car,935,13,0.3223629593849182,1.6671012526077356,0
37,1.234567901234568,1,2,car,1227,259,0.8942434191703796,22.668276398526643,0
37,1.234567901234568,2,2,car,1594,44,0.5091657042503357,18.65751185983812,0
37,1.234567901234568,3,2,car,1045,122,0.7282990217208862,6.596426578079983,0
37,1.234567901234568,4,2,car,1085,270,0.7968266606330872,19.082730540465114,0
37,1.234567901234568,5,2,car,1005,69,0.745533287525177,3.6732783069078763,0
37,1.234567901234568,6,2,car,1071,67,0.510790228843689,5.37977964232737,0
37,1.234567901234568,7,2,car,1522,39,0.5012680888175964,18.301933285936784,0
37,1.234567901234568,19,2,car,983,11,0.4362727105617523,5.086077655718599,0
37,1.234567901234568,14,2,car,935,13,0.36647626757621765,1.5281761482237575,0
38,1.2679346012679347,1,2,car,1233,269,0.8749949336051941,23.842427930057795,0
38,1.2679346012679347,2,2,car,1588,42,0.3362877368927002,18.65751185983812,0
38,1.2679346012679347,3,2,car,1046,125,0.7476233839988708,6.927040355014542,0
38,1.2679346012679347,4,2,car,1087,279,0.8636031150817871,19.84568251887548,0
38,1.2679346012679347,5,2,car,1006,70,0.7594112157821655,3.6732783069078763,0
38,1.2679346012679347,6,2,car,1072,67,0.6100338697433472,5.2101465622379575,0
38,1.2679346012679347,7,2,car,1517,39,0.4899917542934418,17.930121063661627,0
38,1.2679346012679347,19,2,car,983,11,0.4779767692089081,2.5430388278592995,0
38,1.2679346012679347,14,2,car,936,13,0.4654651880264282,1.6827728587665014,0
